GeneID	Genename	Genebiotype	Chr	Start	End	Strand	GTEX-15ER7-3126-SM-7KUGH	GTEX-YFC4-3126-SM-5PNV6	GTEX-15SHU-3126-SM-6M46H	GTEX-1HBPH-3126-SM-9WYUV	GTEX-RNOR-2326-SM-2TF4I	GTEX-13SLX-3126-SM-5S2Q5	GTEX-RU72-3026-SM-CYPRV	GTEX-14A5I-2926-SM-5Q5CQ	GTEX-11GSP-3226-SM-5986O	GTEX-12WSD-3126-SM-5HL7P	GTEX-13O3O-3126-SM-5KM3H	GTEX-14DAQ-3126-SM-62LDS	GTEX-1EWIQ-3126-SM-7MXTI	GTEX-P44G-2426-SM-2I5ER	GTEX-11ZUS-2926-SM-5FQSL	GTEX-1HT8W-3026-SM-CGQEO	GTEX-WZTO-2926-SM-3NM9I	GTEX-13NYB-3026-SM-5IJD7	GTEX-14JG1-3026-SM-5YYAA	GTEX-17MF6-2926-SM-7LTAW	GTEX-1EN7A-3026-SM-7PBYT	GTEX-1KD4Q-2926-SM-D3L9N	GTEX-15RJE-3026-SM-7KUM1	GTEX-13OW6-3026-SM-5J2MI	GTEX-13PVQ-3026-SM-5SI93	GTEX-14BIL-3026-SM-7EWD4	GTEX-17HII-3026-SM-7EWFM	GTEX-18465-3026-SM-7LG6Y	GTEX-1B8SG-1726-SM-73KXK	GTEX-1C6VQ-3026-SM-7IGPU	GTEX-1GZ4I-3026-SM-9KNTX	GTEX-1JMLX-2926-SM-CL54C	GTEX-T6MN-2626-SM-32PMQ	GTEX-1HCVE-3026-SM-CL54G	GTEX-11DXY-3226-SM-5GIDE	GTEX-12ZZZ-3026-SM-5BC67	GTEX-1399T-3026-SM-5KLZC	GTEX-18A6Q-2926-SM-718AR	GTEX-1AX9I-3026-SM-73KUH	GTEX-1B8L1-3026-SM-7EPHK	GTEX-1EKGG-2926-SM-7EPIH	GTEX-1GF9V-2926-SM-7PBXO	GTEX-1GN2E-3026-SM-9WG6I	GTEX-1GN73-3126-SM-9KNTY	GTEX-1IKJJ-2926-SM-A9G2N	GTEX-1IKK5-2926-SM-ARU7Q	GTEX-1JJEA-2826-SM-ARU8R	GTEX-1NV8Z-3126-SM-E76R3	GTEX-1RQEC-2926-SM-EVR5A	GTEX-1I1HK-2826-SM-CKZPL	GTEX-1JJ6O-3126-SM-CNNP8
ENSG00000011465.16	DCN	protein_coding	chr12	91140484	91183123	-	7	4	OO-17	5	5	4	5	4	6	7	4	OO-19	6	6	3	4	OO-24	4	3	5	5	4	OO-18	5	5	6	6	6	5	6	7	5	5	5	9	10	8	6	4	6	OO-21	6	4	2	3	8	6	4	4	3	5
ENSG00000011600.11	TYROBP	protein_coding	chr19	35904401	35908295	-	7	8	14	9	8	9	9	8	14	9	11	26	10	19	13	6	12	5	11	10	16	6	OO-75	14	19	5	6	10	3	2	10	6	6	15	19	4	20	5	12	15	19	4	4	14	6	20	5	7	7	5	14
ENSG00000012779.10	ALOX5	protein_coding	chr10	45374176	45446119	+	1	2	2	1	1	1	1	1	1	1	2	2	3	6	1	1	1	1	1	4	2	2	OO-21	2	4	3	2	4	1	1	2	1	1	4	3	2	3	1	3	2	2	1	1	2	1	3	1	1	2	1	5
ENSG00000013297.10	CLDN11	protein_coding	chr3	170418865	170860380	+	3	34	13	4	14	13	8	7	9	14	11	19	8	5	9	7	15	OO-60	12	14	3	15	4	26	34	6	2	3	2	3	10	9	28	12	21	12	13	8	12	6	36	28	20	27	4	15	8	12	4	29	13
ENSG00000013588.7	GPRC5A	protein_coding	chr12	12890782	12917937	+	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	OO-6	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000015285.10	WAS	protein_coding	chrX	48676596	48691427	+	1	3	2	2	2	2	1	2	2	2	2	4	2	3	2	1	2	1	2	2	3	2	OO-13	3	3	2	2	2	1	1	2	2	2	4	4	1	3	1	2	2	2	2	1	3	1	3	1	2	1	1	3
ENSG00000018280.16	SLC11A1	protein_coding	chr2	218382029	218396894	+	1	3	1	1	1	1	1	2	2	1	6	1	1	7	1	1	1	1	0	6	2	1	OO-40	1	OO-9	2	3	1	3	2	1	1	1	8	2	1	1	1	2	1	1	1	1	7	1	5	1	1	1	1	8
ENSG00000019169.10	MARCO	protein_coding	chr2	118942166	118994660	+	0	0	2	0	0	0	1	0	0	0	0	OO-6	0	3	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	1	0	4	0	0	0	0	0	0	1	0	0	0
ENSG00000019582.14	CD74	protein_coding	chr5	150401637	150412929	-	28	30	69	37	38	22	26	32	65	55	42	259	53	78	47	28	85	26	47	55	26	32	OO-450	57	81	25	26	49	16	8	40	34	41	73	176	29	110	22	71	76	121	28	23	52	18	131	43	34	34	20	60
ENSG00000019991.15	HGF	protein_coding	chr7	81699006	81770438	-	1	1	1	1	1	1	4	2	1	2	2	1	2	4	0	0	2	0	1	1	2	1	OO-6	2	1	1	1	1	1	1	2	2	0	1	2	2	2	2	1	1	2	2	2	1	1	2	1	1	1	1	5
ENSG00000023892.10	DEF6	protein_coding	chr6	35297852	35321771	+	2	3	3	2	2	2	2	2	3	3	2	4	2	2	3	2	2	2	3	3	2	2	OO-9	3	3	2	2	2	1	1	3	2	2	3	4	2	4	2	2	3	3	2	2	4	2	3	2	2	1	2	3
ENSG00000025708.13	TYMP	protein_coding	chr22	50525752	50530056	-	1	5	1	2	1	6	3	2	7	5	5	5	3	15	3	2	4	5	1	4	5	2	OO-39	4	14	2	3	3	2	3	4	3	2	4	5	2	4	2	3	2	5	1	1	7	2	6	5	1	7	3	17
ENSG00000026297.15	RNASET2	protein_coding	chr6	166929504	166957184	-	10	11	11	9	14	12	9	12	11	12	11	15	10	12	11	12	12	10	13	9	7	12	OO-31	15	10	10	9	10	4	9	12	12	11	22	14	14	15	12	12	12	13	11	9	13	8	17	8	11	9	9	14
ENSG00000026508.17	CD44	protein_coding	chr11	35138870	35232402	+	1	3	1	0	1	1	1	1	2	2	1	3	1	3	1	1	2	1	1	1	2	1	6	1	4	2	1	1	1	1	3	1	1	2	2	2	3	1	1	1	3	1	1	3	1	2	2	2	1	1	OO-13
ENSG00000027644.4	INSRR	protein_coding	chr1	156840063	156859018	-	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	OO-8	0	0	0	0	1	1	0	0	0	0
ENSG00000027697.13	IFNGR1	protein_coding	chr6	137197484	137219449	-	23	22	22	25	19	22	20	24	20	24	26	24	16	26	13	16	25	17	17	OO-68	23	22	OO-89	28	24	22	26	17	13	27	27	36	19	41	22	23	23	15	26	19	19	26	19	28	13	33	25	21	12	17	27
ENSG00000028137.18	TNFRSF1B	protein_coding	chr1	12167039	12209228	+	6	5	5	5	4	5	5	3	9	7	3	8	5	10	3	4	6	3	3	8	5	4	OO-34	4	15	5	7	3	3	6	4	4	3	5	4	5	6	4	5	4	6	4	5	8	3	10	4	3	2	3	11
ENSG00000033327.12	GAB2	protein_coding	chr11	78215297	78418348	-	10	35	10	12	15	20	11	12	13	15	15	12	9	12	18	16	17	34	14	17	8	15	15	25	OO-44	11	15	11	9	11	19	14	23	15	22	13	13	14	15	17	16	14	14	24	17	19	15	25	10	34	16
ENSG00000034152.18	MAP2K3	protein_coding	chr17	21284672	21315240	+	7	10	7	9	9	10	8	7	8	8	8	10	8	15	7	8	11	8	8	5	4	10	11	10	OO-29	7	8	12	3	6	10	7	10	8	9	10	8	9	7	7	9	7	7	24	5	12	7	11	6	6	11
ENSG00000039068.18	CDH1	protein_coding	chr16	68737225	68835548	+	0	1	4	0	0	1	0	0	1	1	0	3	1	0	1	1	3	2	1	0	0	1	1	2	4	0	0	0	0	0	1	1	2	1	2	1	1	1	1	1	OO-6	1	1	1	0	1	0	1	0	2	0
ENSG00000041982.15	TNC	protein_coding	chr9	115019578	115118257	-	2	2	1	1	1	0	3	0	1	2	0	2	1	2	1	0	1	1	1	1	1	0	OO-9	1	3	1	0	0	0	0	2	1	1	0	2	1	2	1	1	0	2	2	0	2	1	1	1	1	0	2	2
ENSG00000042832.11	TG	protein_coding	chr8	132866958	133134903	+	0	0	1	1	1	1	0	0	2	4	0	0	1	2	1	1	1	0	0	0	0	1	OO-7	1	1	1	0	0	0	0	1	0	1	0	1	1	2	0	1	1	1	0	0	1	5	0	0	1	1	0	0
ENSG00000042980.12	ADAM28	protein_coding	chr8	24294040	24359018	+	1	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	OO-9	1	1	0	0	0	0	0	1	1	0	2	1	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	1
ENSG00000050344.8	NFE2L3	protein_coding	chr7	26152240	26187125	+	2	3	2	2	3	2	2	1	2	2	3	2	1	1	2	2	2	3	2	1	1	3	2	4	2	1	2	2	1	1	3	3	3	3	2	4	2	2	2	1	2	3	2	OO-9	1	4	2	3	1	3	2
ENSG00000051523.10	CYBA	protein_coding	chr16	88643283	88651152	-	4	5	5	3	3	5	4	4	6	5	5	10	4	8	4	3	5	4	5	5	6	3	OO-34	6	7	4	3	3	2	4	4	4	3	8	7	3	10	3	5	6	8	3	3	4	3	10	4	3	2	2	8
ENSG00000052850.5	ALX4	protein_coding	chr11	44260444	44310166	-	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	OO-6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
ENSG00000054598.6	FOXC1	protein_coding	chr6	1609972	1613897	+	6	2	16	2	3	2	4	3	5	3	3	19	5	8	3	3	OO-41	3	3	3	3	2	OO-25	3	4	4	2	2	2	5	3	2	3	3	6	10	6	4	3	4	OO-25	4	2	2	2	4	7	2	1	2	4
ENSG00000054967.12	RELT	protein_coding	chr11	73376264	73397472	+	3	5	3	4	5	5	3	3	6	4	5	4	2	4	4	4	5	4	4	2	2	4	4	5	12	3	4	5	1	2	4	4	5	5	5	4	4	4	4	4	5	3	4	OO-14	2	6	3	5	2	3	6
ENSG00000057294.14	PKP2	protein_coding	chr12	32790745	32896840	-	2	1	OO-7	1	2	1	1	2	1	1	1	OO-9	1	2	1	1	OO-7	1	2	0	1	1	2	2	0	1	1	2	1	1	3	2	1	1	3	3	1	2	1	2	OO-14	1	1	1	1	1	1	1	1	1	1
ENSG00000059377.16	TBXAS1	protein_coding	chr7	139777051	140020325	+	1	1	1	1	1	0	0	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	OO-6	1	1	0	0	0	0	0	1	1	1	2	1	1	1	1	1	1	1	0	0	1	1	2	0	0	0	0	1
ENSG00000059728.10	MXD1	protein_coding	chr2	69897688	69942945	+	5	9	6	7	7	8	6	6	14	5	6	6	5	7	5	6	7	5	6	3	4	6	6	7	9	5	8	6	5	3	8	5	6	10	6	6	6	6	5	4	6	5	4	16	3	OO-16	4	8	4	5	6
ENSG00000064300.8	NGFR	protein_coding	chr17	49502063	49515017	+	0	1	1	1	1	2	1	1	1	0	1	1	0	1	1	0	2	1	1	1	0	1	1	1	OO-29	1	0	0	0	2	1	0	1	2	1	1	1	1	2	0	1	1	1	5	1	1	0	1	0	1	1
ENSG00000064666.14	CNN2	protein_coding	chr19	1026581	1039068	+	2	3	4	2	2	2	3	2	6	3	2	6	2	4	2	1	10	2	2	3	4	1	OO-16	1	7	3	4	2	2	2	1	2	2	2	3	3	3	2	1	2	7	3	1	2	1	4	4	2	1	2	3
ENSG00000064787.13	BCAS1	protein_coding	chr20	53936777	54070594	-	18	115	26	29	30	75	43	34	49	64	48	22	34	11	44	32	20	155	26	109	29	48	15	88	OO-223	35	59	28	57	49	34	44	61	26	63	35	35	37	50	43	37	53	53	65	80	48	60	88	36	160	27
ENSG00000064886.13	CHI3L2	protein_coding	chr1	111200771	111243440	+	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	OO-6	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	3
ENSG00000064932.15	SBNO2	protein_coding	chr19	1107636	1174283	-	4	10	5	6	5	7	6	5	10	7	8	7	5	19	5	6	7	7	5	6	4	6	OO-29	8	OO-23	6	8	5	3	7	8	8	7	7	6	7	7	8	5	5	8	5	6	OO-21	3	11	5	5	3	6	16
ENSG00000065320.8	NTN1	protein_coding	chr17	9021542	9244000	+	4	3	3	3	3	3	4	2	5	5	2	5	3	3	2	2	10	2	3	3	3	2	OO-13	3	3	4	4	3	1	4	4	4	2	2	3	4	4	4	2	2	6	3	3	2	2	3	4	3	3	3	3
ENSG00000065325.12	GLP2R	protein_coding	chr17	9822206	9892102	+	1	1	1	1	2	1	1	1	0	0	1	1	2	3	2	3	2	1	1	0	0	3	1	1	0	3	1	3	1	1	OO-9	1	1	2	1	1	1	1	2	2	1	1	1	2	0	1	1	2	0	1	2
ENSG00000066322.14	ELOVL1	protein_coding	chr1	43363397	43368074	-	15	46	19	16	25	22	27	18	23	32	20	23	20	12	19	13	21	77	21	25	15	25	23	37	OO-79	20	15	15	9	19	22	21	34	23	33	24	28	23	20	13	33	39	29	40	14	27	19	29	13	44	23
ENSG00000066336.11	SPI1	protein_coding	chr11	47354860	47378576	-	2	3	3	2	2	2	3	3	5	4	3	5	3	6	3	2	3	2	3	5	6	2	OO-27	3	8	3	3	2	1	2	4	2	2	5	5	2	5	2	3	3	4	2	2	6	2	5	2	2	2	2	7
ENSG00000066827.15	ZFAT	protein_coding	chr8	134477788	134713049	-	2	3	3	3	3	2	2	2	2	2	2	3	2	3	2	3	4	2	3	1	1	3	2	4	2	2	2	3	1	1	3	3	2	3	3	2	2	3	OO-18	2	3	2	2	3	2	4	2	3	1	2	OO-10
ENSG00000067066.16	SP100	protein_coding	chr2	230415942	230544090	+	2	2	3	2	1	2	2	1	2	2	2	3	2	4	2	2	4	2	1	2	1	1	OO-11	2	3	1	1	1	2	1	2	2	2	2	2	3	3	2	2	2	4	2	1	2	1	2	2	1	2	1	3
ENSG00000067182.7	TNFRSF1A	protein_coding	chr12	6328757	6342114	-	10	13	12	9	8	7	15	13	15	12	13	16	12	27	6	8	12	8	10	12	10	9	OO-48	13	20	14	12	13	4	16	14	11	7	12	11	12	12	11	8	7	15	10	9	18	7	13	10	9	7	7	34
ENSG00000069974.15	RAB27A	protein_coding	chr15	55202966	55314160	-	2	2	1	1	2	1	1	1	2	1	1	2	1	4	1	2	3	1	1	1	1	1	OO-8	1	2	2	1	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	1	1	1	2	1	2	1	1	2
ENSG00000071054.16	MAP4K4	protein_coding	chr2	101696850	101894689	+	36	83	28	38	35	51	47	39	45	53	45	35	35	28	38	37	34	85	38	65	34	50	35	68	OO-131	34	49	34	42	30	51	50	52	40	51	49	41	45	43	39	45	50	49	57	56	49	45	67	31	108	47
ENSG00000071127.16	WDR1	protein_coding	chr4	10074339	10116949	-	23	23	23	21	20	22	19	19	23	21	17	27	18	24	18	21	43	19	22	15	15	21	OO-62	26	39	24	22	23	9	24	29	20	19	26	26	22	25	23	18	21	28	20	17	27	11	26	21	22	14	17	27
ENSG00000071205.11	ARHGAP10	protein_coding	chr4	147732063	148072780	+	4	2	6	4	4	4	4	4	3	3	3	5	4	8	4	5	OO-13	2	5	2	2	4	7	3	3	3	3	6	1	2	4	4	4	4	3	6	4	4	4	4	7	4	4	5	2	6	4	4	2	2	4
ENSG00000071991.8	CDH19	protein_coding	chr18	66501083	66604138	-	0	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	2	1	1	0	1	0	2	OO-8	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	2	0	1	1	1	0	2	1
ENSG00000073331.17	ALPK1	protein_coding	chr4	112285509	112442606	+	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	OO-6	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	0	2	1	0	1	0	1	1	1	0	1	1
ENSG00000074181.8	NOTCH3	protein_coding	chr19	15159038	15200981	-	16	14	13	14	9	10	13	7	16	19	9	20	20	15	9	11	40	8	10	13	13	12	OO-64	12	10	17	19	13	10	7	16	11	10	9	13	21	24	17	8	17	23	14	14	5	7	15	22	12	8	11	9
ENSG00000074219.13	TEAD2	protein_coding	chr19	49340861	49362457	-	3	2	3	2	3	1	3	2	4	3	1	3	3	7	2	1	5	2	2	2	2	2	OO-17	2	3	2	3	2	1	2	2	2	2	2	3	2	4	2	2	3	3	2	3	1	1	3	3	1	1	2	5
ENSG00000074410.13	CA12	protein_coding	chr15	63321378	63382161	-	2	1	1	1	0	1	1	3	0	3	0	1	1	1	1	1	1	2	1	2	1	1	3	2	1	1	0	1	1	OO-15	2	1	0	1	1	1	1	2	2	0	1	1	1	0	1	1	1	4	1	1	2
ENSG00000075223.13	SEMA3C	protein_coding	chr7	80742538	80922359	-	2	2	4	2	3	2	2	2	1	2	1	8	3	4	2	3	9	2	2	0	2	3	3	3	4	3	1	2	2	1	7	2	2	3	2	4	2	1	2	2	OO-13	2	2	3	1	3	1	2	0	1	3
ENSG00000075426.11	FOSL2	protein_coding	chr2	28392448	28417312	+	14	17	14	24	12	25	11	12	31	11	27	20	9	55	13	17	OO-86	6	12	10	10	20	66	14	23	13	30	12	9	9	23	16	18	20	13	15	9	11	15	18	31	25	15	55	6	37	13	13	6	15	36
ENSG00000076067.12	RBMS2	protein_coding	chr12	56521929	56595595	+	6	5	5	8	5	5	7	5	7	6	5	6	5	6	3	4	6	3	4	8	6	5	OO-17	6	8	6	7	4	3	7	7	6	4	9	5	7	5	5	5	4	6	7	9	7	4	9	6	4	3	5	9
ENSG00000076706.16	MCAM	protein_coding	chr11	119308529	119321521	-	19	26	23	13	15	19	12	7	25	19	16	24	15	29	14	16	OO-180	31	19	21	11	17	OO-232	22	OO-94	13	12	13	9	7	14	16	24	17	26	21	40	21	16	18	49	37	20	37	8	30	38	22	9	25	14
ENSG00000076944.15	STXBP2	protein_coding	chr19	7636991	7647873	+	2	3	3	3	2	2	2	2	2	2	3	2	2	3	2	2	3	3	2	2	2	2	OO-10	4	3	2	3	2	1	1	3	2	3	3	4	3	3	3	2	3	3	2	2	4	1	3	2	2	2	2	3
ENSG00000077157.21	PPP1R12B	protein_coding	chr1	202348699	202590595	+	11	18	11	11	12	11	8	8	6	7	8	11	7	12	11	13	OO-37	12	11	4	5	12	23	14	8	8	8	11	3	5	12	11	13	13	12	10	11	9	10	11	12	11	7	11	6	13	9	13	6	10	11
ENSG00000077238.13	IL4R	protein_coding	chr16	27314102	27364778	+	3	8	4	7	3	5	4	5	7	5	9	4	3	21	2	2	5	3	2	17	5	3	OO-56	4	OO-29	7	10	2	3	17	5	6	2	9	3	3	4	2	6	3	4	6	6	15	3	10	5	2	1	3	21
ENSG00000077420.15	APBB1IP	protein_coding	chr10	26438203	26567803	+	2	2	2	1	1	1	1	2	1	1	1	3	1	2	2	1	1	1	2	2	1	1	OO-10	2	2	1	1	1	0	0	2	1	1	4	3	1	3	1	2	2	2	1	0	3	1	3	1	1	1	1	2
ENSG00000077943.7	ITGA8	protein_coding	chr10	15513949	15720125	-	2	2	3	1	1	2	1	1	1	1	1	2	1	2	1	1	OO-12	2	1	1	3	1	7	1	1	2	1	1	1	2	1	2	2	3	1	1	2	1	1	1	2	3	1	2	1	2	3	2	1	1	1
ENSG00000077984.5	CST7	protein_coding	chr20	24949230	24959928	+	1	2	0	0	0	1	1	1	1	1	1	2	1	1	0	0	1	1	0	2	OO-8	0	2	1	3	0	1	0	1	0	1	0	0	2	1	1	1	1	0	0	1	1	0	1	1	4	1	1	0	1	1
ENSG00000078804.12	TP53INP2	protein_coding	chr20	34704290	34713439	+	54	208	45	62	63	124	85	69	66	101	79	47	61	44	83	66	56	OO-310	62	117	53	87	31	147	OO-328	61	94	58	82	53	76	77	118	48	78	66	63	81	88	69	75	102	82	130	161	73	109	146	75	251	57
ENSG00000079689.13	SCGN	protein_coding	chr6	25652201	25701783	+	2	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	2	1	1	0	0	1	OO-7	1	0	1	1	2	1	1	2	1	1	1	1	2	1	1	0	1	0	1	1	1	1	1	0	2	1	0	1
ENSG00000080031.9	PTPRH	protein_coding	chr19	55181248	55209506	-	1	3	1	1	2	2	0	1	0	1	1	1	1	1	2	1	1	2	1	1	0	1	0	1	OO-6	0	0	1	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	2	0
ENSG00000081237.18	PTPRC	protein_coding	chr1	198638671	198757283	+	1	1	1	1	1	0	0	1	1	1	1	2	0	1	1	0	1	1	0	1	1	1	OO-9	1	2	1	1	0	1	0	1	1	0	3	1	1	1	0	1	1	1	1	0	1	0	2	0	0	0	0	1
ENSG00000081320.10	STK17B	protein_coding	chr2	196133566	196176503	-	3	2	2	2	2	1	4	4	3	2	2	2	2	2	1	1	2	1	2	2	3	2	2	3	2	5	3	2	2	OO-7	3	2	1	3	2	3	2	2	1	1	2	2	1	2	2	2	2	2	2	2	1
ENSG00000081923.11	ATP8B1	protein_coding	chr18	57646426	57803101	-	1	2	1	2	2	2	1	1	1	1	2	2	1	2	1	2	4	1	1	0	1	1	OO-6	2	2	1	1	1	0	1	1	1	2	2	2	2	1	1	1	1	2	1	1	2	0	1	1	1	1	1	1
ENSG00000082074.15	FYB	protein_coding	chr5	39105236	39274528	-	1	0	1	1	1	0	0	0	0	1	0	1	0	2	1	0	1	0	0	1	1	0	OO-10	0	1	0	0	0	0	0	1	0	0	2	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1
ENSG00000085563.14	ABCB1	protein_coding	chr7	87503633	87713323	-	12	9	7	8	7	6	10	4	9	13	5	11	11	7	7	7	9	5	6	14	8	6	OO-26	8	7	8	8	5	3	10	9	9	7	11	8	14	11	9	8	10	12	8	8	22	4	8	9	7	3	6	9
ENSG00000086062.12	B4GALT1	protein_coding	chr9	33104082	33167356	-	3	2	3	4	3	3	2	2	6	4	3	5	3	7	2	2	6	1	2	3	2	3	OO-11	2	4	3	3	2	2	3	3	3	2	4	3	3	3	2	2	3	7	5	3	3	1	6	3	2	1	2	4
